algorithm,seed,episode,mean_reward,epsilon
Q-Learning,11,1,-0.31855363671818654,0.9429503916449086
Q-Learning,11,2,-2.8954085899776936,0.883420365535248
Q-Learning,11,3,-1.2354751974169529,0.8238903394255874
Q-Learning,11,4,-1.369891965600715,0.7643603133159269
Q-Learning,11,5,-0.7338211958701368,0.7048302872062664
Q-Learning,11,6,-2.1655698150333245,0.6453002610966058
Q-Learning,11,7,0.8748659532876958,0.5857702349869451
Q-Learning,11,8,0.4379470911920141,0.5262402088772846
Q-Learning,11,9,1.0769965301627638,0.466710182767624
Q-Learning,11,10,-2.623881694403123,0.4071801566579635
Q-Learning,11,11,1.364393178826665,0.34765013054830296
Q-Learning,11,12,-0.5221637595808811,0.28812010443864233
Q-Learning,11,13,-1.492191397862458,0.22859007832898182
Q-Learning,11,14,-0.7579207071375267,0.1690600522193212
Q-Learning,11,15,0.26851661888356776,0.10953002610966056
Q-Learning,11,16,-0.2664042316602963,0.050000000000000044
Q-Learning,11,17,-0.08122534526517027,0.050000000000000044
Q-Learning,11,18,0.7990675210560413,0.050000000000000044
Q-Learning,11,19,-0.6675418507077975,0.050000000000000044
Q-Learning,11,20,0.20115574520563287,0.050000000000000044
Q-Learning,22,1,-2.903212683664929,0.9429503916449086
Q-Learning,22,2,-0.2876825355472608,0.883420365535248
Q-Learning,22,3,0.6224246375357576,0.8238903394255874
Q-Learning,22,4,-0.7119364116570606,0.7643603133159269
Q-Learning,22,5,-0.6505341861071362,0.7048302872062664
Q-Learning,22,6,-0.11341169422556303,0.6453002610966058
Q-Learning,22,7,-0.5551935258008306,0.5857702349869451
Q-Learning,22,8,-1.4750764539544343,0.5262402088772846
Q-Learning,22,9,-0.4148822828474639,0.466710182767624
Q-Learning,22,10,0.5122181907271859,0.4071801566579635
Q-Learning,22,11,-0.8171995312647916,0.34765013054830296
Q-Learning,22,12,-1.6627732248729759,0.28812010443864233
Q-Learning,22,13,-0.8827254849786424,0.22859007832898182
Q-Learning,22,14,-0.29076191361815734,0.1690600522193212
Q-Learning,22,15,0.19374171305376878,0.10953002610966056
Q-Learning,22,16,-0.9487623275787187,0.050000000000000044
Q-Learning,22,17,-1.84420506854752,0.050000000000000044
Q-Learning,22,18,-0.04521627075143275,0.050000000000000044
Q-Learning,22,19,-1.0881436182191313,0.050000000000000044
Q-Learning,22,20,-1.7154741093763661,0.050000000000000044
Q-Learning,33,1,-1.6260985142320183,0.9429503916449086
Q-Learning,33,2,0.569984886819277,0.883420365535248
Q-Learning,33,3,0.7966786821947464,0.8238903394255874
Q-Learning,33,4,-0.2851455557051511,0.7643603133159269
Q-Learning,33,5,-0.31001101787334645,0.7048302872062664
Q-Learning,33,6,-0.257754889025707,0.6453002610966058
Q-Learning,33,7,-1.924727923509898,0.5857702349869451
Q-Learning,33,8,-0.7026076013551784,0.5262402088772846
Q-Learning,33,9,-0.05710742982991457,0.466710182767624
Q-Learning,33,10,0.09021579182612734,0.4071801566579635
Q-Learning,33,11,-1.6821069669778403,0.34765013054830296
Q-Learning,33,12,0.005201175869685937,0.28812010443864233
Q-Learning,33,13,0.5786473056983646,0.22859007832898182
Q-Learning,33,14,-0.6451294344026453,0.1690600522193212
Q-Learning,33,15,-0.38841039022489426,0.10953002610966056
Q-Learning,33,16,-0.48123217465131085,0.050000000000000044
Q-Learning,33,17,0.4948407486882614,0.050000000000000044
Q-Learning,33,18,0.09460075976411547,0.050000000000000044
Q-Learning,33,19,1.1583125,0.050000000000000044
Q-Learning,33,20,0.14324937631673254,0.050000000000000044
Q-Learning,44,1,-0.261653507808916,0.9429503916449086
Q-Learning,44,2,-1.3661260520662075,0.883420365535248
Q-Learning,44,3,-0.0206937308060615,0.8238903394255874
Q-Learning,44,4,-0.35409092984908136,0.7643603133159269
Q-Learning,44,5,0.6076221894695791,0.7048302872062664
Q-Learning,44,6,0.05583828395636211,0.6453002610966058
Q-Learning,44,7,-1.4172264520443827,0.5857702349869451
Q-Learning,44,8,1.0592719235762438,0.5262402088772846
Q-Learning,44,9,-1.210880001990431,0.466710182767624
Q-Learning,44,10,0.2583671283825358,0.4071801566579635
Q-Learning,44,11,-0.7348235867334799,0.34765013054830296
Q-Learning,44,12,-0.6168384844171969,0.28812010443864233
Q-Learning,44,13,-2.4471550561502147,0.22859007832898182
Q-Learning,44,14,-1.3717368022837075,0.1690600522193212
Q-Learning,44,15,-1.0044236858758249,0.10953002610966056
Q-Learning,44,16,0.344437179501697,0.050000000000000044
Q-Learning,44,17,1.3166527777777777,0.050000000000000044
Q-Learning,44,18,-1.8885370893204902,0.050000000000000044
Q-Learning,44,19,0.8151800805738524,0.050000000000000044
Q-Learning,44,20,0.22331309791522003,0.050000000000000044
Q-Learning,55,1,1.1416180555555557,0.9429503916449086
Q-Learning,55,2,0.15474126705950084,0.883420365535248
Q-Learning,55,3,-0.32217716289846215,0.8238903394255874
Q-Learning,55,4,1.0662653147737082,0.7643603133159269
Q-Learning,55,5,-1.144588139174078,0.7048302872062664
Q-Learning,55,6,-3.2680738512392993,0.6453002610966058
Q-Learning,55,7,-1.8376709716588193,0.5857702349869451
Q-Learning,55,8,1.1121601807656847,0.5262402088772846
Q-Learning,55,9,-1.3681875848536826,0.466710182767624
Q-Learning,55,10,1.1581805555555555,0.4071801566579635
Q-Learning,55,11,1.1833333333333333,0.34765013054830296
Q-Learning,55,12,0.3377089550429993,0.28812010443864233
Q-Learning,55,13,0.47927574690876745,0.22859007832898182
Q-Learning,55,14,-0.1331347572872932,0.1690600522193212
Q-Learning,55,15,-0.6770917696627167,0.10953002610966056
Q-Learning,55,16,-0.6276395075096466,0.050000000000000044
Q-Learning,55,17,-0.8620722180201548,0.050000000000000044
Q-Learning,55,18,-0.13488055460534606,0.050000000000000044
Q-Learning,55,19,-0.9792684975680768,0.050000000000000044
Q-Learning,55,20,1.2772974331819373,0.050000000000000044
SARSA,11,1,-0.31855363671818654,0.9429503916449086
SARSA,11,2,-2.8954085899776936,0.883420365535248
SARSA,11,3,-1.2354751974169529,0.8238903394255874
SARSA,11,4,-1.369891965600715,0.7643603133159269
SARSA,11,5,-0.7338211958701368,0.7048302872062664
SARSA,11,6,-2.1631595378251216,0.6453002610966058
SARSA,11,7,-0.3345869746605515,0.5857702349869451
SARSA,11,8,0.3362227747252686,0.5262402088772846
SARSA,11,9,1.0825627295515223,0.466710182767624
SARSA,11,10,-1.831770663449393,0.4071801566579635
SARSA,11,11,1.2916458333333334,0.34765013054830296
SARSA,11,12,-2.5614395767997333,0.28812010443864233
SARSA,11,13,-1.3560741221280042,0.22859007832898182
SARSA,11,14,-0.0383679961466654,0.1690600522193212
SARSA,11,15,0.6775022602953639,0.10953002610966056
SARSA,11,16,-0.6185424733289749,0.050000000000000044
SARSA,11,17,-0.2891166028975813,0.050000000000000044
SARSA,11,18,0.1722972033374536,0.050000000000000044
SARSA,11,19,-1.2013858115352376,0.050000000000000044
SARSA,11,20,0.7330006222268232,0.050000000000000044
SARSA,22,1,-2.903212683664929,0.9429503916449086
SARSA,22,2,-0.2876825355472608,0.883420365535248
SARSA,22,3,0.6224246375357576,0.8238903394255874
SARSA,22,4,-0.7119364116570606,0.7643603133159269
SARSA,22,5,-0.6505341861071362,0.7048302872062664
SARSA,22,6,-0.11341169422556303,0.6453002610966058
SARSA,22,7,-0.5551935258008306,0.5857702349869451
SARSA,22,8,-1.491743120621101,0.5262402088772846
SARSA,22,9,-0.42156957942992096,0.466710182767624
SARSA,22,10,0.4936864729085726,0.4071801566579635
SARSA,22,11,-2.8509209369540343,0.34765013054830296
SARSA,22,12,-1.7403188882508918,0.28812010443864233
SARSA,22,13,-0.8744129849786426,0.22859007832898182
SARSA,22,14,-0.10439929600427511,0.1690600522193212
SARSA,22,15,0.024743772693675226,0.10953002610966056
SARSA,22,16,-1.4120384039700762,0.050000000000000044
SARSA,22,17,0.02818190831034606,0.050000000000000044
SARSA,22,18,0.38347034085850246,0.050000000000000044
SARSA,22,19,-1.0881436182191313,0.050000000000000044
SARSA,22,20,-1.6133447710888158,0.050000000000000044
SARSA,33,1,-1.6260985142320183,0.9429503916449086
SARSA,33,2,0.569984886819277,0.883420365535248
SARSA,33,3,0.7966786821947464,0.8238903394255874
SARSA,33,4,-0.2851455557051511,0.7643603133159269
SARSA,33,5,-0.31001101787334645,0.7048302872062664
SARSA,33,6,-0.257754889025707,0.6453002610966058
SARSA,33,7,-1.924727923509898,0.5857702349869451
SARSA,33,8,0.42116833590361713,0.5262402088772846
SARSA,33,9,-0.05710742982991457,0.466710182767624
SARSA,33,10,0.21057901671141085,0.4071801566579635
SARSA,33,11,-1.6176639822709646,0.34765013054830296
SARSA,33,12,0.46286548659535537,0.28812010443864233
SARSA,33,13,1.0732986013239483,0.22859007832898182
SARSA,33,14,0.008917798262938962,0.1690600522193212
SARSA,33,15,-0.2611358980662078,0.10953002610966056
SARSA,33,16,-0.9999677771292017,0.050000000000000044
SARSA,33,17,0.22246922201895103,0.050000000000000044
SARSA,33,18,0.15305331047918222,0.050000000000000044
SARSA,33,19,1.2315314425731014,0.050000000000000044
SARSA,33,20,0.20019655904719225,0.050000000000000044
SARSA,44,1,-0.261653507808916,0.9429503916449086
SARSA,44,2,-1.3661260520662075,0.883420365535248
SARSA,44,3,-0.0206937308060615,0.8238903394255874
SARSA,44,4,-0.35409092984908136,0.7643603133159269
