algorithm,seed,arrivals,timely_completions,late_completions,rejections,timeouts,sla_violation_fraction,rejection_rate,timeout_rate,p95_response_time_ms,mean_reward,instance_seconds,drain_instance_seconds,scaling_actions,forecast_mae_rps,forecast_rmse_rps,startup_arrivals,startup_violations,startup_violation_rate,startup_violation_cohort_fraction,training_seconds,stabilization_episode,q_updates,q_nonzero_entries
Q-Learning,11,1014909,406413,424298,19003,165195,0.5995572016801506,0.018723846177342008,0.1627682876001691,9997.601120990283,-0.9802486080898924,12360.0,80.0,18,111.56377812603391,153.9229573833552,232162,207887,0.895439391459412,0.20483314267584582,0.930793999999878,,480,139
Q-Learning,22,1014909,499790,441890,17926,55303,0.5075519085947607,0.017662667293323834,0.05449059964982082,9993.289246472234,-0.7102729218672094,16920.0,100.0,36,111.56377812603391,153.9229573833552,281727,193081,0.6853478722309185,0.19024464262313173,0.9411190999999235,,480,135
Q-Learning,33,1014909,491415,415465,17949,90080,0.5158038799537693,0.017685329423623202,0.08875672597247634,9995.774893871185,-0.7290327175355474,17400.0,130.0,19,111.56377812603391,153.9229573833552,164047,77364,0.47159655464592465,0.07622752384696559,0.7688004999999976,,480,119
Q-Learning,44,1014909,449264,443291,18621,103733,0.5573356823124044,0.018347457752369917,0.10220916358018305,9996.14481210516,-0.9817230562916287,15780.0,110.0,23,111.56377812603391,153.9229573833552,226856,182565,0.8047616108897274,0.17988312252625605,0.8583663999997952,,480,138
Q-Learning,55,1014909,743945,220185,17926,32853,0.2669835423668526,0.017662667293323834,0.03237038985761285,9988.49095919426,0.2340712499667465,18300.0,110.0,19,111.56377812603391,153.9229573833552,188208,114550,0.6086351270934286,0.11286726199097653,0.7536516999998639,,480,125
SARSA,11,1014909,435512,391437,19003,168957,0.5708856656113996,0.018723846177342008,0.16647502386913507,9997.66696700657,-0.8765122477798182,12540.0,90.0,13,111.56377812603391,153.9229573833552,192544,191067,0.9923290260927372,0.18826022825691763,0.7397474000008515,,480,136
SARSA,22,1014909,749219,193425,17979,54286,0.2617870173582065,0.01771488872401368,0.053488539366583605,9993.00179567069,0.2219802572391778,17880.0,120.0,22,111.56377812603391,153.9229573833552,122672,22708,0.18511151689056998,0.022374419775566087,1.0136886000000231,,480,138
SARSA,33,1014909,610018,320358,17979,66554,0.3989431564800391,0.01771488872401368,0.06557632260626323,9993.978441613905,-0.21240803705195646,16860.0,130.0,21,111.56377812603391,153.9229573833552,179940,49628,0.27580304545959766,0.048898965325955335,0.8128382999993846,,480,120
SARSA,44,1014909,426533,355718,18621,214037,0.5797327642182698,0.018347457752369917,0.21089279925589388,9998.26276532184,-1.0962761951634172,14640.0,120.0,18,111.56377812603391,153.9229573833552,137236,79971,0.5827261068524294,0.07879622705089816,0.8661423000003197,,480,137
SARSA,55,1014909,743945,220185,17926,32853,0.2669835423668526,0.017662667293323834,0.03237038985761285,9988.49095919426,0.19796013885563535,19200.0,130.0,17,111.56377812603391,153.9229573833552,188208,114550,0.6086351270934286,0.11286726199097653,0.7700166999993598,,480,126
Expected SARSA,11,1014909,331635,454910,19003,209361,0.673236713833457,0.018723846177342008,0.20628548963503132,9998.204881578455,-1.3146434844676103,11700.0,80.0,16,111.56377812603391,153.9229573833552,241938,241938,1.0,0.23838393392905177,1.0614695999993273,,480,141
Expected SARSA,22,1014909,499790,441890,17926,55303,0.5075519085947607,0.017662667293323834,0.05449059964982082,9993.289246472234,-0.7102729218672094,16920.0,100.0,36,111.56377812603391,153.9229573833552,281727,193081,0.6853478722309185,0.19024464262313173,1.1598862999999255,,480,134
Expected SARSA,33,1014909,488877,399130,17949,108953,0.5183045967668037,0.017685329423623202,0.10735248184812629,9996.463587061135,-0.7085066568989017,16380.0,130.0,23,111.56377812603391,153.9229573833552,195904,83839,0.4279596128716106,0.08260740618124383,1.094921500000055,,480,119
Expected SARSA,44,1014909,583052,320641,18621,92595,0.42551302629102705,0.018347457752369917,0.09123478065521146,9995.620086187784,-0.4473536254692456,16860.0,130.0,21,111.56377812603391,153.9229573833552,210789,157616,0.7477430036671743,0.15530062301152123,1.1536430000005566,,480,143
Expected SARSA,55,1014909,743945,220185,17926,32853,0.2669835423668526,0.017662667293323834,0.03237038985761285,9988.49095919426,0.2340712499667465,18300.0,110.0,19,111.56377812603391,153.9229573833552,188208,114550,0.6086351270934286,0.11286726199097653,1.062596400000075,,480,125
Dyna-Q,11,1014909,549036,372493,18621,74759,0.45902933169377746,0.018347457752369917,0.07366079126305905,9994.54699713948,-0.4856792192770027,16860.0,110.0,25,111.56377812603391,153.9229573833552,282839,231042,0.8168675465547538,0.22764799602723002,1.4081023999997342,,5280,139
Dyna-Q,22,1014909,428328,353310,19142,214129,0.5779641327449062,0.018860804269151224,0.21098344777709135,9997.764518613827,-1.5643586267029495,13920.0,150.0,21,111.56377812603391,153.9229573833552,275081,192444,0.6995903024927204,0.18961700014484056,1.5229578000007677,,5280,139
Dyna-Q,33,1014909,555771,336031,18621,104486,0.4523932687561151,0.018347457752369917,0.10295110201998406,9996.190414415094,-0.5583569657769245,17700.0,140.0,26,111.56377812603391,153.9229573833552,291089,209499,0.7197077182579898,0.20642146241682752,1.298619800000779,,5280,121
Dyna-Q,44,1014909,672778,289371,17926,34834,0.33710510006315836,0.017662667293323834,0.03432228899339744,9989.440964483583,-0.07231908555023056,19440.0,140.0,14,111.56377812603391,153.9229573833552,127738,65098,0.5096212560083921,0.064141711227312,1.3898216999996293,,5280,151
Dyna-Q,55,1014909,404133,281443,19162,310171,0.601803708509827,0.018880510469411544,0.3056145920471688,9998.636966644597,-2.3791392915251333,9720.0,50.0,11,111.56377812603391,153.9229573833552,69458,51824,0.7461199573843186,0.05106270611453835,1.3487790999997742,,5280,135
Predictive Q-Learning,11,1014909,517629,349908,19003,128369,0.4899749632725693,0.018723846177342008,0.12648326106084387,9996.68996320521,-0.6136944899275133,14880.0,120.0,22,111.56377812603391,153.9229573833552,279608,223902,0.8007710795113159,0.22061288253429617,1.3570665999995981,,480,163
Predictive Q-Learning,22,1014909,799311,164819,17926,32853,0.21243086818621176,0.017662667293323834,0.03237038985761285,9988.49095919426,0.3890220127314098,19740.0,150.0,13,111.56377812603391,153.9229573833552,145457,65098,0.4475411977422881,0.064141711227312,1.4145920000000842,,480,164
Predictive Q-Learning,33,1014909,487913,424968,17926,84102,0.5192544356193511,0.017662667293323834,0.08286654271466704,9995.475627847554,-0.7341596522048207,17220.0,110.0,17,111.56377812603391,153.9229573833552,167708,89199,0.5318708707992463,0.08788866785100931,1.1900716999998622,,480,149
Predictive Q-Learning,44,1014909,571426,316058,18621,108804,0.43696824050235045,0.018347457752369917,0.10720567065618691,9996.259945890142,-0.40416995853963206,15300.0,120.0,14,111.56377812603391,153.9229573833552,193084,139600,0.723001387996934,0.13754927781702597,1.1522660999999061,,480,177
Predictive Q-Learning,55,1014909,799102,165028,17926,32853,0.2126367979789321,0.017662667293323834,0.03237038985761285,9988.49095919426,0.3771095068803116,19380.0,130.0,23,111.56377812603391,153.9229573833552,177488,65307,0.36795163616695215,0.06434764102003233,0.9602423000005729,,480,167
Threshold baseline,11,1014909,610432,268514,19003,116960,0.39853523813465047,0.018723846177342008,0.11524185912234496,9996.236859485507,-0.25179142099329177,15540.0,120.0,18,111.56377812603391,153.9229573833552,267350,212363,0.7943257901627081,0.20924339029410519,0.0,,0,0
Threshold baseline,22,1014909,610432,268514,19003,116960,0.39853523813465047,0.018723846177342008,0.11524185912234496,9996.236859485507,-0.25179142099329177,15540.0,120.0,18,111.56377812603391,153.9229573833552,267350,212363,0.7943257901627081,0.20924339029410519,0.0,,0,0
Threshold baseline,33,1014909,610432,268514,19003,116960,0.39853523813465047,0.018723846177342008,0.11524185912234496,9996.236859485507,-0.25179142099329177,15540.0,120.0,18,111.56377812603391,153.9229573833552,267350,212363,0.7943257901627081,0.20924339029410519,0.0,,0,0
Threshold baseline,44,1014909,610432,268514,19003,116960,0.39853523813465047,0.018723846177342008,0.11524185912234496,9996.236859485507,-0.25179142099329177,15540.0,120.0,18,111.56377812603391,153.9229573833552,267350,212363,0.7943257901627081,0.20924339029410519,0.0,,0,0
Threshold baseline,55,1014909,610432,268514,19003,116960,0.39853523813465047,0.018723846177342008,0.11524185912234496,9996.236859485507,-0.25179142099329177,15540.0,120.0,18,111.56377812603391,153.9229573833552,267350,212363,0.7943257901627081,0.20924339029410519,0.0,,0,0
