algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
Dyna-Q,55,ramp,0,60.0,90.68333333333334,2,1,0,2,1.2,180.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
Dyna-Q,55,ramp,1,120.0,90.3,3,0,0,1,1.4,180.0,0.30360620505179575,0.0,89.855,-0.4449999999999932,5418,0,0,0
Dyna-Q,55,ramp,2,180.0,90.06666666666666,3,1,0,2,1.0,240.0,0.3095758424854123,0.0,89.9885,-0.07816666666666094,5405,0,0,0
Dyna-Q,55,ramp,3,240.0,90.76666666666667,4,0,0,1,1.2,240.0,0.22294216641504125,0.0,90.01195,-0.7547166666666669,5446,0,0,0
Dyna-Q,55,ramp,4,300.0,113.15,4,1,0,2,0.8,300.0,0.2835049869460163,0.0,90.238365,-22.911635000000004,6788,0,0,0
Dyna-Q,55,ramp,5,360.0,158.76666666666668,5,0,0,1,1.0,300.0,0.31354392898590505,0.0,97.11185549999999,-61.65481116666669,9525,0,0,0
Dyna-Q,55,ramp,6,420.0,198.36666666666667,5,0,0,1,1.0,300.0,0.4046711062497504,0.0,115.60829884999998,-82.75836781666669,11902,0,0,0
Dyna-Q,55,ramp,7,480.0,243.43333333333334,5,0,0,1,1.0,300.0,0.487468266049576,0.0,140.435809195,-102.99752413833335,14608,0,0,0
Dyna-Q,55,ramp,8,540.0,285.96666666666664,5,0,0,1,1.0,300.0,0.5729122173350322,0.0,171.33506643649997,-114.63160023016667,17155,0,0,0
Dyna-Q,55,ramp,9,600.0,332.4166666666667,5,0,0,1,1.0,300.0,0.6641241876107623,0.0,205.72454650554997,-126.69212016111672,19946,0,0,0
Dyna-Q,55,ramp,10,660.0,372.6333333333333,5,0,0,1,1.0,300.0,0.7419401720824135,0.0,243.73218255388497,-128.90115077944836,22358,0,0,0
Dyna-Q,55,ramp,11,720.0,424.21666666666664,5,0,6,1,0.999,300.0,0.847738811372296,0.0,282.40252778771946,-141.81413887894718,25444,0,0,0
Dyna-Q,55,ramp,12,780.0,437.8,5,0,0,1,1.0,300.0,0.8774769899889255,0.0,324.9467694514036,-112.8532305485964,26275,0,0,0
Dyna-Q,55,ramp,13,840.0,435.1333333333333,5,0,0,1,1.0,300.0,0.87083937953231,0.0,358.80273861598255,-76.33059471735078,26108,0,0,0
Dyna-Q,55,ramp,14,900.0,435.6666666666667,5,0,0,1,1.0,300.0,0.8728830570601106,0.0,381.70191703118775,-53.96474963547894,26142,0,0,0
Dyna-Q,55,ramp,15,960.0,433.2,5,0,0,1,1.0,300.0,0.8541401209262726,0.0,397.8913419218314,-35.308658078168605,25990,0,0,0
Dyna-Q,55,ramp,16,1020.0,395.46666666666664,5,0,0,1,1.0,300.0,0.7922413480552617,0.0,408.48393934528195,13.017272678615313,23728,0,0,0
Dyna-Q,55,ramp,17,1080.0,358.26666666666665,5,0,0,1,1.0,300.0,0.719786784098413,0.0,404.5787575416973,46.31209087503066,21497,0,0,0
Dyna-Q,55,ramp,18,1140.0,313.35,5,0,0,1,1.0,300.0,0.6291032020576707,0.0,390.6851302791881,77.33513027918809,18804,0,0,0
Dyna-Q,55,ramp,19,1200.0,272.35,4,0,0,0,1.0,240.0,0.690749476794313,0.0,367.4845911954317,95.13459119543165,16339,0,0,0
Dyna-Q,55,ramp,20,1260.0,230.51666666666668,3,0,0,0,1.2,180.0,0.7734114594043288,0.0,338.94421383680213,108.42754717013545,13831,0,0,0
Dyna-Q,55,ramp,21,1320.0,193.7,3,0,0,1,1.4,180.0,0.6403888572993562,0.0,306.41594968576146,112.71594968576147,11624,0,0,0
Dyna-Q,55,ramp,22,1380.0,151.48333333333332,3,0,0,1,1.4,180.0,0.49874289937793415,0.0,272.601164780033,121.11783144669968,9087,0,0,0
Dyna-Q,55,ramp,23,1440.0,110.65,3,0,0,1,1.4,180.0,0.37873277315554915,0.0,236.2658153460231,125.61581534602308,6640,0,0,0
Dyna-Q,55,recurring,0,60.0,108.66666666666667,1,0,610,0,-4.282377326565144,60.0,0.9997531325691421,0.9634517766497462,107.48333333333333,-1.1833333333333371,216,5694,0,0
Dyna-Q,55,recurring,1,120.0,112.33333333333333,1,0,1106,1,-4.384333333333333,60.0,1.0,1.0,107.83833333333334,-4.49499999999999,0,5946,0,298
Dyna-Q,55,recurring,2,180.0,338.85,1,0,3426,1,-4.771,60.0,1.0,1.0,109.18683333333334,-229.66316666666668,0,6135,0,11876
Dyna-Q,55,recurring,3,240.0,444.43333333333334,1,0,4407,1,-4.9345,60.0,1.0,1.0,178.08578333333332,-266.34755,0,6037,0,19648
Dyna-Q,55,recurring,4,300.0,204.58333333333334,1,0,2086,1,-4.547666666666667,60.0,1.0,1.0,257.99004833333333,53.40671499999999,0,5992,0,8604
Dyna-Q,55,recurring,5,360.0,111.65,1,0,1079,1,-4.379833333333334,60.0,1.0,1.0,241.96803383333332,130.31803383333332,0,6021,0,1685
