algorithm,seed,trace,step,time_seconds,arrival_rate,active_instances,pending_startup,queue_length,action,reward,instance_seconds,utilization,sla_violation_fraction,forecast_used,forecast_error,timely_completions,late_completions,rejections,timeouts
SARSA,44,ramp,0,60.0,90.68333333333334,2,1,0,2,1.2,180.0,0.45765347543880547,0.0,89.5,-1.1833333333333371,5444,0,0,0
SARSA,44,ramp,1,120.0,90.3,3,0,0,1,1.4,180.0,0.30360620505179575,0.0,89.855,-0.4449999999999932,5418,0,0,0
SARSA,44,ramp,2,180.0,90.06666666666666,3,0,0,1,1.4,180.0,0.3095758424854123,0.0,89.9885,-0.07816666666666094,5405,0,0,0
SARSA,44,ramp,3,240.0,90.76666666666667,3,0,0,1,1.4,180.0,0.2972562218867217,0.0,90.01195,-0.7547166666666669,5446,0,0,0
SARSA,44,ramp,4,300.0,113.15,3,0,0,1,1.4,180.0,0.378006649261355,0.0,90.238365,-22.911635000000004,6788,0,0,0
SARSA,44,ramp,5,360.0,158.76666666666668,3,0,0,1,1.4,180.0,0.5225732149765084,0.0,97.11185549999999,-61.65481116666669,9525,0,0,0
SARSA,44,ramp,6,420.0,198.36666666666667,2,0,162,0,-3.9048534923339018,120.0,0.9978294770121849,0.8796422487223169,115.60829884999998,-82.75836781666669,1413,10327,0,0
SARSA,44,ramp,7,480.0,243.43333333333334,2,0,2355,1,-4.7925,120.0,1.0,1.0,140.435809195,-102.99752413833335,0,12048,0,365
SARSA,44,ramp,8,540.0,285.96666666666664,2,0,2908,1,-4.884666666666667,120.0,1.0,1.0,171.33506643649997,-114.63160023016667,0,11876,0,4729
SARSA,44,ramp,9,600.0,332.4166666666667,2,0,3346,1,-4.957666666666667,120.0,1.0,1.0,205.72454650554997,-126.69212016111672,0,12039,0,7468
SARSA,44,ramp,10,660.0,372.6333333333333,2,0,3830,1,-5.038333333333334,120.0,1.0,1.0,243.73218255388497,-128.90115077944836,0,11953,0,9921
SARSA,44,ramp,11,720.0,424.21666666666664,2,0,4322,1,-5.120333333333334,120.0,1.0,1.0,282.40252778771946,-141.81413887894718,0,12053,0,12908
SARSA,44,ramp,12,780.0,437.8,2,0,4311,1,-5.1185,120.0,1.0,1.0,324.9467694514036,-112.8532305485964,0,12094,0,14185
SARSA,44,ramp,13,840.0,435.1333333333333,2,0,4348,1,-5.124666666666667,120.0,1.0,1.0,358.80273861598255,-76.33059471735078,0,11911,0,14160
SARSA,44,ramp,14,900.0,435.6666666666667,2,0,4295,1,-5.115833333333334,120.0,1.0,1.0,381.70191703118775,-53.96474963547894,0,11894,0,14299
SARSA,44,ramp,15,960.0,433.2,2,0,4361,1,-5.126833333333334,120.0,1.0,1.0,397.8913419218314,-35.308658078168605,0,12243,0,13683
SARSA,44,ramp,16,1020.0,395.46666666666664,2,0,4027,1,-5.071166666666667,120.0,1.0,1.0,408.48393934528195,13.017272678615313,0,11949,0,12113
SARSA,44,ramp,17,1080.0,358.26666666666665,2,0,3551,1,-4.991833333333334,120.0,1.0,1.0,404.5787575416973,46.31209087503066,0,12005,0,9967
SARSA,44,ramp,18,1140.0,313.35,2,0,3178,1,-4.929666666666667,120.0,1.0,1.0,390.6851302791881,77.33513027918809,0,11884,0,7290
SARSA,44,ramp,19,1200.0,272.35,2,0,2744,1,-4.857333333333334,120.0,1.0,1.0,367.4845911954317,95.13459119543165,0,11853,0,4922
SARSA,44,ramp,20,1260.0,230.51666666666668,2,1,2282,2,-5.1803333333333335,180.0,1.0,1.0,338.94421383680213,108.42754717013545,0,11892,0,2401
