arrivals,timely_completions,late_completions,rejections,timeouts,sla_violation_fraction,rejection_rate,timeout_rate,p95_response_time_ms,algorithm,seed,trace,mean_reward,instance_seconds,drain_instance_seconds,scaling_actions,forecast_mae_rps,forecast_rmse_rps,startup_arrivals,startup_violations,startup_violation_rate,startup_violation_cohort_fraction
375501,186031,183720,0,5750,0.5045792155014235,0.0,0.015312875331889929,9982.827077936578,Q-Learning,11,ramp,-0.9032931356885555,4920.0,40.0,2,73.45650110393719,87.24507704105696,29060,10534,0.3624913971094288,0.028053187608022348
277185,112793,109608,0,54784,0.59307682594657,0.0,0.19764417266446596,9998.093249237627,Q-Learning,11,recurring,-0.9174101283783096,3720.0,20.0,8,108.30680695729284,134.93489701639376,77370,71621,0.9256947137133256,0.2583869978534192
362223,107589,130970,19003,104661,0.7029757911562766,0.05246215728984631,0.28894079061793426,9998.9009957187,Q-Learning,11,burst,-1.1200425602028126,3720.0,20.0,8,152.92802631687172,212.7385732023927,125732,125732,1.0,0.3471121381027709
375501,247035,116695,0,11771,0.34211892911070807,0.0,0.03134745313594371,9988.888569455468,Q-Learning,22,ramp,-0.23549368930704773,5580.0,20.0,8,73.45650110393719,87.24507704105696,62425,51561,0.8259671605927112,0.13731255043262203
277185,142598,127561,0,7026,0.4855493623392319,0.0,0.025347691974673955,9980.353355763342,Q-Learning,22,recurring,-0.6119353230838488,5580.0,40.0,14,108.30680695729284,134.93489701639376,99913,57245,0.5729484651646933,0.20652271948337753
362223,110157,197634,17926,36506,0.695886235827101,0.04948885079081119,0.10078321917713674,9996.410817716282,Q-Learning,22,burst,-1.2833897532107317,5760.0,40.0,14,152.92802631687172,212.7385732023927,119389,84275,0.7058858018745445,0.23266054336693143
375501,140949,183303,0,51249,0.6246374843209472,0.0,0.1364816605015699,9997.203121681861,Q-Learning,33,ramp,-1.5763525387376347,5160.0,50.0,5,73.45650110393719,87.24507704105696,38827,16341,0.4208669225023824,0.04351786013885449
277185,152801,123609,0,775,0.44874001118386636,0.0,0.0027959665927088408,8554.955629085143,Q-Learning,33,recurring,-0.3919209520909812,6060.0,40.0,8,108.30680695729284,134.93489701639376,48351,20234,0.4184815205476619,0.07299817811209121
362223,197665,108553,17949,38056,0.45430025150252745,0.04955234758698371,0.10506235109311116,9996.568203994848,Q-Learning,33,burst,-0.21882466177802662,6180.0,40.0,6,152.92802631687172,212.7385732023927,76869,40789,0.5306300329131379,0.11260742691656797
375501,210980,150911,0,13610,0.4381373152135414,0.0,0.03624491013339512,9989.91364698091,Q-Learning,44,ramp,-0.9621296638194586,5520.0,40.0,6,73.45650110393719,87.24507704105696,71225,65784,0.9236082836082836,0.17518994623183426
277185,128307,119874,0,29004,0.537106986308783,0.0,0.10463769684506738,9995.977217137579,Q-Learning,44,recurring,-0.804999207413287,4980.0,40.0,8,108.30680695729284,134.93489701639376,71808,53818,0.7494708110516934,0.1941591355953605
362223,109977,172506,18621,61119,0.6963831672754077,0.051407558327328746,0.16873307327254206,9997.891833076172,Q-Learning,44,burst,-1.1780402976421398,5280.0,30.0,9,152.92802631687172,212.7385732023927,83823,62963,0.7511422879162044,0.17382385988741741
375501,375501,0,0,0,0.0,0.0,0.0,43.61864414829597,Q-Learning,55,ramp,1.108291666666667,6120.0,30.0,5,73.45650110393719,87.24507704105696,20390,0,0.0,0.0
277185,170988,105422,0,775,0.3831267925753558,0.0,0.0027959665927088408,8554.955629085143,Q-Learning,55,recurring,-0.20158518187955035,6120.0,40.0,8,108.30680695729284,134.93489701639376,90950,73617,0.8094227597581088,0.2655879647167054
362223,197456,114763,17926,32078,0.4548772441286169,0.04948885079081119,0.08855870554879176,9995.929058413298,Q-Learning,55,burst,-0.20449273488687691,6060.0,40.0,6,152.92802631687172,212.7385732023927,76868,40933,0.5325102773585888,0.11300497207521333
375501,215856,151770,0,7875,0.4251519969320987,0.0,0.02097198143280577,9985.733541318212,SARSA,11,ramp,-0.6760734588518433,5460.0,50.0,3,73.45650110393719,87.24507704105696,60368,58957,0.9766266896368937,0.15700890277256252
277185,112793,109608,0,54784,0.59307682594657,0.0,0.19764417266446596,9998.093249237627,SARSA,11,recurring,-0.8840767950449763,3600.0,20.0,6,108.30680695729284,134.93489701639376,69213,69147,0.9990464219149582,0.24946155094972672
362223,106863,130059,19003,106298,0.7049800813311137,0.05246215728984631,0.2934601060672569,9998.928957568782,SARSA,11,burst,-1.069386489442635,3480.0,20.0,4,152.92802631687172,212.7385732023927,62963,62963,1.0,0.17382385988741741
375501,375501,0,0,0,0.0,0.0,0.0,49.230320677793316,SARSA,22,ramp,1.1332916666666666,5940.0,30.0,5,73.45650110393719,87.24507704105696,33222,0,0.0,0.0
277185,176170,91654,0,9361,0.36443169724191427,0.0,0.0337716687410935,9989.37942820846,SARSA,22,recurring,-0.246240321377327,5880.0,50.0,9,108.30680695729284,134.93489701639376,54790,22708,0.41445519255338564,0.08192362501578368
362223,197548,101771,17979,44925,0.4546232569439268,0.049635169495034825,0.12402580730654873,9997.083642897069,SARSA,22,burst,-0.22111057357180638,6060.0,40.0,8,152.92802631687172,212.7385732023927,34660,0,0.0,0.0
375501,248925,124595,0,1981,0.33708565356683473,0.0,0.0052756184404302514,9954.568120009624,SARSA,33,ramp,-0.2514693422271133,5580.0,50.0,7,73.45650110393719,87.24507704105696,65554,43,0.000655947768252128,0.00011451367639500295
277185,163754,93783,0,19648,0.4092248859065245,0.0,0.07088406659812038,9992.96346081631,SARSA,33,recurring,-0.25390667780365495,5760.0,40.0,8,108.30680695729284,134.93489701639376,71211,49376,0.6933760233671764,0.1781337373956022
362223,197339,101980,17979,44925,0.45520024957001626,0.049635169495034825,0.12402580730654873,9997.083642897069,SARSA,33,burst,-0.13184809112510118,5520.0,40.0,6,152.92802631687172,212.7385732023927,43175,209,0.004840764331210191,0.0005769926260894532
