algorithm,seed,training_seconds,stabilization_episode,q_updates,q_nonzero_entries
Q-Learning,11,0.930793999999878,,480,139
Q-Learning,22,0.9411190999999235,,480,135
Q-Learning,33,0.7688004999999976,,480,119
Q-Learning,44,0.8583663999997952,,480,138
Q-Learning,55,0.7536516999998639,,480,125
SARSA,11,0.7397474000008515,,480,136
SARSA,22,1.0136886000000231,,480,138
SARSA,33,0.8128382999993846,,480,120
SARSA,44,0.8661423000003197,,480,137
SARSA,55,0.7700166999993598,,480,126
Expected SARSA,11,1.0614695999993273,,480,141
Expected SARSA,22,1.1598862999999255,,480,134
Expected SARSA,33,1.094921500000055,,480,119
Expected SARSA,44,1.1536430000005566,,480,143
Expected SARSA,55,1.062596400000075,,480,125
Dyna-Q,11,1.4081023999997342,,5280,139
Dyna-Q,22,1.5229578000007677,,5280,139
Dyna-Q,33,1.298619800000779,,5280,121
Dyna-Q,44,1.3898216999996293,,5280,151
Dyna-Q,55,1.3487790999997742,,5280,135
Predictive Q-Learning,11,1.3570665999995981,,480,163
Predictive Q-Learning,22,1.4145920000000842,,480,164
Predictive Q-Learning,33,1.1900716999998622,,480,149
Predictive Q-Learning,44,1.1522660999999061,,480,177
Predictive Q-Learning,55,0.9602423000005729,,480,167
